Rank,Player,Signed Age,Yrs,Value,AAV,Sign Bonus,G'teed @ Sign,Practical G'teed,Position
66,Julio Jones|2019-2023 (FA: 2024),30,3,66000000,22000000,"$25,000,000 ",64000000,64000000,WR
66,Kirk Cousins |2020-2022 (FA: 2023),31,2,66000000,33000000,"$30,000,000 ",31000000,66000000,QB
66,Za'Darius Smith|2019-2022 (FA: 2023),26,4,66000000,16500000,"$20,000,000 ",20000000,20000000,LB
66,Trenton Brown|2019-2022 (FA: 2023)Originally signed w/ OAK,25,4,66000000,16500000,-,36250000,36250000,RT
66,Laremy Tunsil|2020-2023 (FA: 2024),25,3,66000000,22000000,"$13,000,000 ",40000000,50000000,LT
71,Cameron Heyward|2020-2024 (FA: 2025),31,4,65600000,16400000,"$17,500,000 ",20250000,26250000,DT
72,Geno Atkins|2018-2022 (FA: 2023),30,4,65200000,16300000,"$13,000,000 ",17000000,25000000,DT
73,Stephon Gilmore|2017-2021 (FA: 2022),26,5,65000000,13000000,"$18,000,000 ",31000000,40000000,CB
73,T.Y. Hilton|2015-2020 (FA: 2021),25,5,65000000,13000000,"$10,000,000 ",11000000,28000000,WR
73,Terron Armstead|2016-2021 (FA: 2022),24,5,65000000,13000000,"$11,000,000 ",15880000,38000000,LT
73,Robert Woods|2020-2025 (FA: 2026),28,4,65000000,16250000,-,18500000,32000000,WR
77,Adam Thielen|2019-2024 (FA: 2025),28,4,64200000,16050000,"$9,000,000 ",14105000,33000000,WR
78,Christian McCaffrey|2020-2025 (FA: 2026),23,4,64063500,16015875,"$21,500,000 ",30062500,38162500,RB
79,Melvin Ingram|2017-2020 (FA: 2021),28,4,64000000,16000000,"$10,500,000 ",34000000,34000000,LB
80,Dalvin Cook |2020-2025 (FA: 2026),25,5,63000000,12600000,"$15,500,000 ",26125000,28125000,RB
80,Teddy Bridgewater|2020-2022 (FA: 2023),27,3,63000000,21000000,"$15,000,000 ",33000000,33000000,QB
82,Nate Solder|2018-2022 (FA: 2023),29,4,62000000,15500000,"$16,000,000 ",34800000,34800000,LT
83,Malcolm Butler|2018-2022 (FA: 2023),28,5,61250000,12250000,"$10,000,000 ",24000000,30000000,CB
84,Jurrell Casey|2017-2022 (FA: 2023)Originally signed w/ TEN,27,4,60400000,15100000,"$8,000,000 ",24000000,40000000,DT
85,Stephon Tuitt |2017-2022 (FA: 2023),24,5,60001439,12000288,"$13,000,000 ",13000000,13000000,DE
86,Taylor Decker|2020-2024 (FA: 2025),27,4,60000000,15000000,"$7,500,000 ",42100000,42100000,LT
87,Budda Baker|2020-2024 (FA: 2025),24,4,59000000,14750000,"$10,000,000 ",22100000,33100000,S
88,Riley Reiff |2017-2021 (FA: 2022),28,5,58750000,11750000,"$11,000,000 ",26300000,26300000,LT
89,Eddie Jackson|2020-2024 (FA: 2025),27,4,58400000,14600000,"$12,000,000 ",22000000,33000000,FS
90,Dion Dawkins|2020-2024 (FA: 2025),26,4,58300000,14575000,"$8,600,000 ",29500441,29500441,LT
91,Davante Adams|2017-2021 (FA: 2022),25,4,58000000,14500000,"$18,000,000 ",24000000,30000000,WR
91,Zach Cunningham|2020-2024 (FA: 2025),25,4,58000000,14500000,"$12,000,000 ",23500000,32500000,LB
93,Ryan Kerrigan|2015-2020 (FA: 2021)Originally signed w/ WAS,26,5,57500000,11500000,"$16,000,000 ",23788000,23788000,DE
93,Andrus Peat|2020-2024 (FA: 2025),26,5,57500000,11500000,"$13,000,000 ",23000000,33850000,G
95,Travis Kelce|2020-2025 (FA: 2026),30,4,57250000,14312500,-,20750000,20750000,TE
96,Myles Jack|2019-2023 (FA: 2024),23,4,57000000,14250000,"$12,000,000 ",26063787,33063787,LB
96,Deion Jones|2019-2023 (FA: 2024),24,4,57000000,14250000,"$11,000,000 ",18800000,34000000,LB
98,Brandon Brooks|2019-2024 (FA: 2025),30,4,56350000,14087500,"$3,911,177 ",4911177,30000000,G
99,Gabe Jackson|2017-2022 (FA: 2023)Originally signed w/ OAK,25,5,55000000,11000000,-,16500000,27500000,G
100,DeAndre Hopkins|2020-2024 (FA: 2025),28,2,54500000,27250000,"$27,500,000 ",42750000,60050000,WR
